Year,Month,Day,Hour,Minute,Second,T,Height
2021,03,23,23,30,00,1,5658.464
2021,03,23,23,15,00,1,5658.454
2021,03,23,23,00,00,1,5658.442
2021,03,23,22,45,00,1,5658.430
2021,03,23,22,30,00,1,5658.417
2021,03,23,22,15,00,1,5658.405
2021,03,23,22,00,00,1,5658.389
2021,03,23,21,45,00,1,5658.374
2021,03,23,21,30,00,1,5658.358
2021,03,23,21,15,00,1,5658.341
2021,03,23,21,00,00,1,5658.325
2021,03,23,20,45,00,1,5658.307
2021,03,23,20,30,00,1,5658.289
2021,03,23,20,15,00,1,5658.272
2021,03,23,20,00,00,1,5658.254
2021,03,23,19,45,00,1,5658.235
2021,03,23,19,30,00,1,5658.217
2021,03,23,19,15,00,1,5658.198
2021,03,23,19,00,00,1,5658.181
2021,03,23,18,45,00,1,5658.166
2021,03,23,18,30,00,1,5658.149
2021,03,23,18,15,00,1,5658.134
2021,03,23,18,00,00,1,5658.120
2021,03,23,17,45,00,1,5658.108
2021,03,23,17,30,00,1,5658.097
2021,03,23,17,15,00,1,5658.087
2021,03,23,17,00,00,1,5658.080
2021,03,23,16,45,00,1,5658.071
2021,03,23,16,30,00,1,5658.067
2021,03,23,16,15,00,1,5658.063
2021,03,23,16,00,00,1,5658.061
2021,03,23,15,45,00,1,5658.065
2021,03,23,15,30,00,1,5658.071
2021,03,23,15,15,00,1,5658.078
2021,03,23,15,00,00,1,5658.089
2021,03,23,14,45,00,1,5658.105
2021,03,23,14,30,00,1,5658.123
2021,03,23,14,15,00,1,5658.145
2021,03,23,14,00,00,1,5658.167
2021,03,23,13,45,00,1,5658.192
2021,03,23,13,30,00,1,5658.222
2021,03,23,13,15,00,1,5658.254
2021,03,23,13,00,00,1,5658.285
2021,03,23,12,45,00,1,5658.320
2021,03,23,12,30,00,1,5658.356
2021,03,23,12,15,00,1,5658.394
2021,03,23,12,00,00,1,5658.430
2021,03,23,11,45,00,1,5658.469
2021,03,23,11,30,00,1,5658.510
2021,03,23,11,15,00,1,5658.551
2021,03,23,11,00,00,1,5658.590
2021,03,23,10,45,00,1,5658.627
2021,03,23,10,30,00,1,5658.667
2021,03,23,10,15,00,1,5658.702
2021,03,23,10,00,00,1,5658.734
2021,03,23,09,45,00,1,5658.765
2021,03,23,09,30,00,1,5658.795
2021,03,23,09,15,00,1,5658.825
2021,03,23,09,00,00,1,5658.849
2021,03,23,08,45,00,1,5658.872
2021,03,23,08,30,00,1,5658.893
2021,03,23,08,15,00,1,5658.908
2021,03,23,08,00,00,1,5658.921
2021,03,23,07,45,00,1,5658.930
2021,03,23,07,30,00,1,5658.937
2021,03,23,07,15,00,1,5658.937
2021,03,23,07,00,00,1,5658.933
2021,03,23,06,45,00,1,5658.923
2021,03,23,06,30,00,1,5658.912
2021,03,23,06,15,00,1,5658.894
2021,03,23,06,00,00,1,5658.874
2021,03,23,05,45,00,1,5658.850
2021,03,23,05,30,00,1,5658.820
2021,03,23,05,15,00,1,5658.789
2021,03,23,05,00,00,1,5658.756
2021,03,23,04,45,00,1,5658.720
2021,03,23,04,30,00,1,5658.684
2021,03,23,04,15,00,1,5658.644
2021,03,23,04,00,00,1,5658.606
2021,03,23,03,45,00,1,5658.567
2021,03,23,03,30,00,1,5658.531
2021,03,23,03,15,00,1,5658.493
2021,03,23,03,00,00,1,5658.457
2021,03,23,02,45,00,1,5658.425
2021,03,23,02,30,00,1,5658.393
2021,03,23,02,15,00,1,5658.365
2021,03,23,02,00,00,1,5658.337
2021,03,23,01,45,00,1,5658.313
2021,03,23,01,30,00,1,5658.293
2021,03,23,01,15,00,1,5658.277
2021,03,23,01,00,00,1,5658.263
2021,03,23,00,45,00,1,5658.256
2021,03,23,00,30,00,1,5658.253
2021,03,23,00,15,00,1,5658.249
2021,03,23,00,00,00,1,5658.251
2021,03,22,23,45,00,1,5658.258
2021,03,22,23,30,00,1,5658.267
2021,03,22,23,15,00,1,5658.278
2021,03,22,23,00,00,1,5658.289
2021,03,22,22,45,00,1,5658.306
2021,03,22,22,30,00,1,5658.323
2021,03,22,22,15,00,1,5658.343
2021,03,22,22,00,00,1,5658.363
2021,03,22,21,45,00,1,5658.382
2021,03,22,21,30,00,1,5658.402
2021,03,22,21,15,00,1,5658.421
2021,03,22,21,00,00,1,5658.440
2021,03,22,20,45,00,1,5658.457
2021,03,22,20,30,00,1,5658.472
2021,03,22,20,15,00,1,5658.483
2021,03,22,20,00,00,1,5658.494
2021,03,22,19,45,00,1,5658.499
2021,03,22,19,30,00,1,5658.501
2021,03,22,19,15,00,1,5658.500
2021,03,22,19,00,00,1,5658.497
2021,03,22,18,45,00,1,5658.488
2021,03,22,18,30,00,1,5658.476
2021,03,22,18,15,00,1,5658.461
2021,03,22,18,00,00,1,5658.441
2021,03,22,17,45,00,1,5658.417
2021,03,22,17,30,00,1,5658.391
2021,03,22,17,15,00,1,5658.359
2021,03,22,17,00,00,1,5658.325
2021,03,22,16,45,00,1,5658.291
2021,03,22,16,30,00,1,5658.255
2021,03,22,16,15,00,1,5658.220
2021,03,22,16,00,00,1,5658.184
2021,03,22,15,45,00,1,5658.149
2021,03,22,15,30,00,1,5658.114
2021,03,22,15,15,00,1,5658.083
2021,03,22,15,00,00,1,5658.054
2021,03,22,14,45,00,1,5658.029
2021,03,22,14,30,00,1,5658.009
2021,03,22,14,15,00,1,5657.993
2021,03,22,14,00,00,1,5657.981
2021,03,22,13,45,00,1,5657.975
2021,03,22,13,30,00,1,5657.975
2021,03,22,13,15,00,1,5657.980
2021,03,22,13,00,00,1,5657.992
2021,03,22,12,45,00,1,5658.010
2021,03,22,12,30,00,1,5658.037
2021,03,22,12,15,00,1,5658.069
2021,03,22,12,00,00,1,5658.106
2021,03,22,11,45,00,1,5658.150
2021,03,22,11,30,00,1,5658.199
2021,03,22,11,15,00,1,5658.253
2021,03,22,11,00,00,1,5658.310
2021,03,22,10,45,00,1,5658.372
2021,03,22,10,30,00,1,5658.436
2021,03,22,10,15,00,1,5658.501
2021,03,22,10,00,00,1,5658.570
2021,03,22,09,45,00,1,5658.638
2021,03,22,09,30,00,1,5658.705
2021,03,22,09,15,00,1,5658.769
2021,03,22,09,00,00,1,5658.833
2021,03,22,08,45,00,1,5658.895
2021,03,22,08,30,00,1,5658.953
2021,03,22,08,15,00,1,5659.006
2021,03,22,08,00,00,1,5659.051
2021,03,22,07,45,00,1,5659.093
2021,03,22,07,30,00,1,5659.129
2021,03,22,07,15,00,1,5659.156
2021,03,22,07,00,00,1,5659.177
2021,03,22,06,45,00,1,5659.188
2021,03,22,06,30,00,1,5659.191
2021,03,22,06,15,00,1,5659.185
2021,03,22,06,00,00,1,5659.172
2021,03,22,05,45,00,1,5659.149
2021,03,22,05,30,00,1,5659.119
2021,03,22,05,15,00,1,5659.081
2021,03,22,05,00,00,1,5659.035
2021,03,22,04,45,00,1,5658.986
2021,03,22,04,30,00,1,5658.931
2021,03,22,04,15,00,1,5658.870
2021,03,22,04,00,00,1,5658.806
2021,03,22,03,45,00,1,5658.740
2021,03,22,03,30,00,1,5658.672
2021,03,22,03,15,00,1,5658.604
2021,03,22,03,00,00,1,5658.533
2021,03,22,02,45,00,1,5658.467
2021,03,22,02,30,00,1,5658.403
2021,03,22,02,15,00,1,5658.341
2021,03,22,02,00,00,1,5658.281
2021,03,22,01,45,00,1,5658.227
2021,03,22,01,30,00,1,5658.178
2021,03,22,01,15,00,1,5658.136
2021,03,22,01,00,00,1,5658.099
2021,03,22,00,45,00,1,5658.070
2021,03,22,00,30,00,1,5658.048
2021,03,22,00,15,00,1,5658.035
2021,03,22,00,00,00,1,5658.029
2021,03,21,23,45,00,1,5658.030
2021,03,21,23,30,00,1,5658.042
2021,03,21,23,15,00,1,5658.058
2021,03,21,23,00,00,1,5658.080
2021,03,21,22,45,00,1,5658.110
2021,03,21,22,30,00,1,5658.145
2021,03,21,22,15,00,1,5658.186
2021,03,21,22,00,00,1,5658.231
2021,03,21,21,45,00,1,5658.277
2021,03,21,21,30,00,1,5658.326
2021,03,21,21,15,00,1,5658.376
2021,03,21,21,00,00,1,5658.426
2021,03,21,20,45,00,1,5658.474
2021,03,21,20,30,00,1,5658.522
2021,03,21,20,15,00,1,5658.566
2021,03,21,20,00,00,1,5658.606
2021,03,21,19,45,00,1,5658.643
2021,03,21,19,30,00,1,5658.674
2021,03,21,19,15,00,1,5658.700
2021,03,21,19,00,00,1,5658.717
2021,03,21,18,45,00,1,5658.728
2021,03,21,18,30,00,1,5658.734
2021,03,21,18,15,00,1,5658.730
2021,03,21,18,00,00,1,5658.716
2021,03,21,17,45,00,1,5658.696
2021,03,21,17,30,00,1,5658.669
2021,03,21,17,15,00,1,5658.633
2021,03,21,17,00,00,1,5658.591
2021,03,21,16,45,00,1,5658.544
2021,03,21,16,30,00,1,5658.491
2021,03,21,16,15,00,1,5658.432
2021,03,21,16,00,00,1,5658.370
2021,03,21,15,45,00,1,5658.307
2021,03,21,15,30,00,1,5658.240
2021,03,21,15,15,00,1,5658.176
2021,03,21,15,00,00,1,5658.111
2021,03,21,14,45,00,1,5658.050
2021,03,21,14,30,00,1,5657.991
2021,03,21,14,15,00,1,5657.936
2021,03,21,14,00,00,1,5657.887
2021,03,21,13,45,00,1,5657.843
2021,03,21,13,30,00,1,5657.809
2021,03,21,13,15,00,1,5657.783
2021,03,21,13,00,00,1,5657.762
2021,03,21,12,45,00,1,5657.752
2021,03,21,12,30,00,1,5657.751
2021,03,21,12,15,00,1,5657.763
2021,03,21,12,00,00,1,5657.784
2021,03,21,11,45,00,1,5657.817
2021,03,21,11,30,00,1,5657.858
2021,03,21,11,15,00,1,5657.912
2021,03,21,11,00,00,1,5657.971
2021,03,21,10,45,00,1,5658.041
2021,03,21,10,30,00,1,5658.117
2021,03,21,10,15,00,1,5658.199
2021,03,21,10,00,00,1,5658.287
2021,03,21,09,45,00,1,5658.379
2021,03,21,09,30,00,1,5658.473
2021,03,21,09,15,00,1,5658.570
2021,03,21,09,00,00,1,5658.666
2021,03,21,08,45,00,1,5658.762
2021,03,21,08,30,00,1,5658.855
2021,03,21,08,15,00,1,5658.942
2021,03,21,08,00,00,1,5659.024
2021,03,21,07,45,00,1,5659.103
2021,03,21,07,30,00,1,5659.170
2021,03,21,07,15,00,1,5659.228
2021,03,21,07,00,00,1,5659.277
2021,03,21,06,45,00,1,5659.319
2021,03,21,06,30,00,1,5659.347
2021,03,21,06,15,00,1,5659.364
2021,03,21,06,00,00,1,5659.368
2021,03,21,05,45,00,1,5659.364
2021,03,21,05,30,00,1,5659.346
2021,03,21,05,15,00,1,5659.316
2021,03,21,05,00,00,1,5659.273
2021,03,21,04,45,00,1,5659.219
2021,03,21,04,30,00,1,5659.158
2021,03,21,04,15,00,1,5659.087
2021,03,21,04,00,00,1,5659.010
2021,03,21,03,45,00,1,5658.925
2021,03,21,03,30,00,1,5658.834
2021,03,21,03,15,00,1,5658.743
2021,03,21,03,00,00,1,5658.649
2021,03,21,02,45,00,1,5658.553
2021,03,21,02,30,00,1,5658.461
2021,03,21,02,15,00,1,5658.368
2021,03,21,02,00,00,1,5658.278
2021,03,21,01,45,00,1,5658.193
2021,03,21,01,30,00,1,5658.114
2021,03,21,01,15,00,1,5658.045
2021,03,21,01,00,00,1,5657.980
2021,03,21,00,45,00,1,5657.926
2021,03,21,00,30,00,1,5657.880
2021,03,21,00,15,00,1,5657.846
2021,03,21,00,00,00,1,5657.823
