Year,Month,Day,Hour,Minute,Second,T,Height,Date
2021,3,24,3,0,0,1,5658.484,2021-03-24 03:00:00
2021,3,24,2,45,0,1,5658.485,2021-03-24 02:45:00
2021,3,24,2,30,0,1,5658.486,2021-03-24 02:30:00
2021,3,24,2,15,0,1,5658.487,2021-03-24 02:15:00
2021,3,24,2,0,0,1,5658.487,2021-03-24 02:00:00
2021,3,24,1,45,0,1,5658.487,2021-03-24 01:45:00
2021,3,24,1,30,0,1,5658.489,2021-03-24 01:30:00
2021,3,24,1,15,0,1,5658.491,2021-03-24 01:15:00
2021,3,24,1,0,0,1,5658.489,2021-03-24 01:00:00
2021,3,24,0,45,0,1,5658.489,2021-03-24 00:45:00
2021,3,24,0,30,0,1,5658.487,2021-03-24 00:30:00
2021,3,24,0,15,0,1,5658.484,2021-03-24 00:15:00
2021,3,24,0,0,0,1,5658.478,2021-03-24 00:00:00
2021,3,23,23,45,0,1,5658.472,2021-03-23 23:45:00
2021,3,23,23,30,0,1,5658.464,2021-03-23 23:30:00
2021,3,23,23,15,0,1,5658.454,2021-03-23 23:15:00
2021,3,23,23,0,0,1,5658.442,2021-03-23 23:00:00
2021,3,23,22,45,0,1,5658.43,2021-03-23 22:45:00
2021,3,23,22,30,0,1,5658.417,2021-03-23 22:30:00
2021,3,23,22,15,0,1,5658.405,2021-03-23 22:15:00
2021,3,23,22,0,0,1,5658.389,2021-03-23 22:00:00
2021,3,23,21,45,0,1,5658.374,2021-03-23 21:45:00
2021,3,23,21,30,0,1,5658.358,2021-03-23 21:30:00
2021,3,23,21,15,0,1,5658.341,2021-03-23 21:15:00
2021,3,23,21,0,0,1,5658.325,2021-03-23 21:00:00
2021,3,23,20,45,0,1,5658.307,2021-03-23 20:45:00
2021,3,23,20,30,0,1,5658.289,2021-03-23 20:30:00
2021,3,23,20,15,0,1,5658.272,2021-03-23 20:15:00
2021,3,23,20,0,0,1,5658.254,2021-03-23 20:00:00
2021,3,23,19,45,0,1,5658.235,2021-03-23 19:45:00
2021,3,23,19,30,0,1,5658.217,2021-03-23 19:30:00
2021,3,23,19,15,0,1,5658.198,2021-03-23 19:15:00
2021,3,23,19,0,0,1,5658.181,2021-03-23 19:00:00
2021,3,23,18,45,0,1,5658.166,2021-03-23 18:45:00
